Stock A,Stock B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
WMB,CMA,-3.4170587785630646,0.04049078313145346,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.258509082331951,-3543.241589869585,12,0,0
CTRA,CAG,-3.749656430458818,0.01579915405115455,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.26248294036476,317.71983027775735,34,0,0
XOM,CAG,-3.436122438271212,0.038493843999630704,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2322144665800479,2713.656543313141,44,0,0
IPG,CAG,-3.4353412615358265,0.03857401821079191,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2559661055612781,603.0464849261382,30,0,0
PXD,CAG,-3.4921047810762125,0.03310172931726128,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.23317012944542495,1994.3200506657395,28,0,0
UHS,CAG,-3.407557834253727,0.041517934797488235,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2362335744512931,2807.829122239823,46,0,0
WMB,CAG,-3.649190232777381,0.021269033041939608,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2706489767922843,269.80425800185355,31,0,0
JCI,COP,-3.6841174592892654,0.019204779400888185,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2440152735192336,2425.575079387725,13,0,0
COP,TAP,-4.148656254110849,0.004357708640812202,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2409373928631321,331.3459618704569,15,0,0
NDAQ,COP,-3.531875286708458,0.029672403490759305,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.26264023840471723,1973.3797179143328,65,0,0
NTAP,COP,-3.785160921126713,0.014185831329354056,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.242985660111265,50.52611046352737,19,0,0
PTC,COP,-4.414853153034577,0.0016843861753154648,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20907834836096847,792.2198029346588,17,0,0
QCOM,COP,-3.9293378514904047,0.009032482956420531,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2991144765451855,101.9243489819867,12,0,0
COP,RMD,-3.3686310280981857,0.045956017910058315,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22986058478537585,-1625.5825269198597,21,0,0
RHI,COP,-3.709695067024796,0.01780608516330557,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2436316910079881,15.692284637376009,68,0,0
COP,ROST,-3.358447558330123,0.04717982976609692,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2426401084390359,-261508.13712875856,35,0,0
TWTR,COP,-3.376371040764293,0.0450435415472198,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2774121221104165,597.8523184859189,34,0,0
UPS,COP,-3.4073451605636884,0.041541173725406486,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2579625360659678,1061.3561885636384,24,0,0
CTRA,ED,-4.743913945329709,0.00047324820315877003,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2173993483574199,-1891.7891260182,45,0,0
DLR,ED,-3.695587915830682,0.018566085471291318,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.18398144113365206,1205.9352483353875,43,0,0
EQIX,ED,-4.185099863150311,0.003842067308277461,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2202535664273222,-1394.6295577257354,21,0,0
ED,ESS,-3.578828049136089,0.02601840573844536,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2026543288524738,-1601.0236052677774,27,0,0
XOM,ED,-3.3742411056966426,0.045293129600473964,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.23808434926025035,81.28331729302316,27,0,0
IPG,ED,-3.4978637205971066,0.03258523521343662,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2460159210916008,-1585.5741095339592,31,0,0
JNJ,ED,-3.569378644707212,0.02672102157198806,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22233848644983056,15327.768268884367,35,0,0
ED,MMC,-3.519287877724168,0.03072343771240722,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22969045868911445,145.26418997454604,15,0,0
ED,MCD,-3.4061393997461953,0.0416731330188235,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21255925660797445,-750.2575383323933,21,0,0
ED,MAA,-3.5006805009922437,0.032335111130656236,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21733619470626914,945.0130334274296,34,0,0
ORCL,ED,-4.794107496632397,0.0003865306909799365,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.23953094174733716,1984.1574938238969,79,0,0
ED,PEP,-3.493933312641876,0.03293698942248095,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.25613762827199543,-2347.9055603791085,59,0,0
PPG,ED,-4.492452651761137,0.0012601152295551167,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.208794967888073,446.66194840221357,73,0,0
QCOM,ED,-3.4898119821618967,0.033309283549187316,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2782241706938753,212.9792346357869,31,0,0
ED,SRE,-3.5555034404081574,0.027782205096593696,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.16831177911597012,-2009.6772010347745,35,1,1
WMB,ED,-3.615314996813354,0.023452492083732818,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2504788470655057,-2351.2470929407336,41,0,0
ED,WLTW,-3.6180782214811193,0.02326739806749497,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22151469798237305,-1627.5024162796285,37,0,0
STZ,LH,-3.7268060892551236,0.016920912699202463,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20847917110251526,183.0925375386824,31,0,0
STZ,NOC,-3.563362085652485,0.02717682238581873,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20785256267646954,2156.5649139376656,61,0,0
CTRA,COO,-3.7983119031527206,0.013626248570962058,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20153808785589286,-1024.3599173015298,37,0,0
COO,CCI,-3.9502597961299437,0.008444134237488663,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19040413258408626,-1294.919928028186,29,0,0
DLR,COO,-3.975049586759472,0.007791742816878566,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19939170767371756,-1002.30711200161,31,0,0
COO,DTE,-4.34115281293658,0.002206953744816112,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19433642172048887,-1235.68767761114,21,0,0
DRE,COO,-4.202913732472164,0.00361091428603862,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2027980295503312,-1061.6961021831173,31,0,0
COO,ESS,-3.6796951761940497,0.019456092076247176,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.18579512441013848,53.502588125318184,47,0,0
COO,ES,-3.3739857344986586,0.04532313112596975,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19882360996802373,-1127.5155459019584,23,0,0
XOM,COO,-3.420522418414524,0.04012165219393645,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2011290922462309,-807.8789145179451,29,0,0
COO,ICE,-3.3466529835648733,0.04863080184760475,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19814791168356424,-1125.9908944040792,23,0,0
