Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,FDS,190007.61090736344,134.33740169737587,0
BTC,FAST,inf,89.84020074093951,0
BTC,FRT,66159845.70831147,108.76979607314945,0
BTC,FDX,153436.66518754573,23.698619981249042,0
BTC,FITB,138501.83110677055,48.746525618161854,0
BTC,FRC,117753.24726854183,81.81781694604527,0
BTC,FE,321081.81935855665,338.4833307753115,0
BTC,FIS,139019.12759181682,148.01555180115685,0
BTC,FISV,227612.39627164108,153.21511442079657,0
BTC,FLT,inf,129.43190294463204,0
BTC,FMC,inf,103.27198061712812,0
BTC,F,855094.2441666763,38.9347476110957,0
BTC,FTNT,171180.5392512858,90.8466015598234,0
BTC,FTV,253518.93515454538,129.1753320805909,0
BTC,FBHS,inf,11.515201048758115,0
BTC,FOXA,194036.35268155416,125.73246044342744,0
BTC,FOX,208652.94893657102,129.3485300486532,0
BTC,BEN,52039.14737654301,61.41078654025946,0
BTC,FCX,inf,460.1029314001148,0
BTC,AJG,139911.49971246213,63.44504188034252,0
BTC,GRMN,82975.57213492469,72.23293243015303,0
BTC,IT,inf,72.98042145043291,0
BTC,GE,259899.3778953518,86.85191191748366,0
BTC,GNRC,49009.675546136044,99.43147437688144,0
BTC,GD,280790.47560845944,145.91666278530155,0
BTC,GIS,310224.36402129696,206.81465759567158,0
BTC,GPC,147739.4356240339,81.27979914196679,0
BTC,GILD,320607.78818977776,298.45573599822654,0
BTC,GL,272298.3317695064,126.54690419611535,0
BTC,GPN,1770186.2430553767,110.70866035692052,0
BTC,GM,78095.66526859486,52.034311540941644,0
BTC,GS,111878.48297362233,79.5246635146586,0
BTC,GWW,227246.36022303562,87.06885756097388,0
BTC,HAL,inf,45.28465842028403,0
BTC,HIG,261107.82888614087,105.35326118338222,0
BTC,HAS,290652.3714326709,138.17561700322875,0
BTC,HCA,249342.90494793045,68.90945923847579,0
BTC,PEAK,289183.11414962204,140.79153936553217,0
BTC,HSIC,66658.3708878314,112.95344618432482,0
BTC,HSY,305486.81497251545,192.73185060323124,0
BTC,HES,244688.24339847773,98.01404640253385,0
BTC,HPE,249346.7405303025,112.14770428853527,0
BTC,HLT,232662.0662141898,72.63628170342346,0
